"Ag (ppm)","As (ppm)","Cu (ppm)","Mo (ppm)","Pb (ppm)","Sb (ppm)","Tl (ppm)","Zn (ppm)","Co (ppm)","Ni (ppm)","Type"
137.602522741856,4867.76824235866,2765.39618650067,92.0511457992537,6827.50410810075,321.13373193525,7.03966001009925,6085.92247348285,33.2400317324749,4.54793030371103,"VHMS"
36.26561236,117.4244554,3.853546065,0.02,2120.193149633,5.120916216,0.514080059,1267.173418,6517.504083,66.43217769,"VHMS"
89.968,1232,1209,12.503,2542,568,10.988,348,9.448,18.281,"VHMS"
0.598,9096,67,0.099,4,1,0.017,4,9.339,0.069,"VHMS"
0.00363031103397009,11.8749791006007,2.80527060085432,0.956286400441041,0.265253797364188,0.308319402430654,0.00843760584707348,0.609944957763299,76.5530727732352,81.8261956084162,"VHMS"
52.14,504,271,8.628,794,408,4.394,535,11.996,7.334,"VHMS"
6637.51367359827,14030.6691599696,79.4551178515462,0.438798239688007,18.3374522628867,7.00165252833559,0.0648652695127479,4975.16122361551,0.0726099647605628,0.157481167621912,"VHMS"
713.198922228714,4637.73881112762,497.986832385333,2.47119675291517,6831.79472402116,231.803111025031,3.55117057751796,1796.83419028226,0.487802716465874,2.35449648027519,"VHMS"
14.3057155907299,4945.38839811475,2006.61956178768,1.93945938337752,342.294858036542,69.4588816072967,2.40763232918113,4096.25421414941,0.816350469512409,0.111898382331431,"VHMS"
43.6022189462589,8240.08178560051,1018.99829430522,13.6057578436278,1438.49226824875,660.902705777532,160.31800865635,5074.35918209593,1.22072409915873,7.32331423458701,"VHMS"
2.84719472335747,2059.76471350638,3086.77409039272,1.86874396868994,24.8889475483157,4.05522597443098,0.00494282185905888,3.21959459772655,0.823215439145605,3.55435469650609,"VHMS"
178.531848084842,139.056810390861,1112.15009145342,0.237919177835398,373.808701244155,8.32285468263185,26.8800828829889,164.037171443379,18.4185590088017,0.647696325707052,"VHMS"
3.13,721.9,5565.3,5.92,1676.31723,19.85,0.07,94,854.9,14.6,"VHMS"
182.871779186214,5722.72295280524,9717.2781479614,9.04777746251996,2049.98344562237,247.366994250062,518.014062765188,913.67861512672,0.430087974741582,67.8362195918386,"VHMS"
104.809,1505,1297,16.612,3235,733,6.516,396,8.917,18.81,"VHMS"
8.6774846533195,761.859965419546,949.39972550948,61.5791176928715,282.761060748422,12.1931308189794,4.80044163668157,238.90814265623,201.5427506065,12.7587132958171,"VHMS"
8.351823387,271.9814214,439.1189536,0.118646222,86.07262445665,21.20242168,0.057790437,9.043424468,178.27332,15.97452496,"VHMS"
134.116339863274,4877.42840285675,8376.92491197357,75.6836238804178,1319.73337311418,1047.17150028136,166.677398482132,890.578142495853,229.140019759971,245.610315344768,"VHMS"
3132.18704892286,1101.1494078896,3572.2456305701,17.1163276627278,2505.699648466,341.639985274643,8.94458780897519,388.650842508604,0.849147330190608,10.8764954361508,"VHMS"
363.501686604034,14241.4271873583,248.667194411405,0.270906809075862,52.0603213984364,4.41910651668469,0.0438660188362137,444.438932245959,0.214552947698933,0.428453679585859,"VHMS"
11.95,651.5,951.1,7.15,1642.16248,775.01,0.08,5.7,2360.7,11.6,"VHMS"
2.18383634,30.0125387,94.10995928,0.65317057,11.51527178675,3.483006304,0.117640251,1.178942498,108.0386249,2.220828605,"VHMS"
23.848,550,368,3.614,617,204,9.026,260,1.106,3.356,"VHMS"
